text,intent,entities,label
what flights are there tuesday morning from dallas to atlanta,flight,depart_date.day_name=tuesday;depart_time.period_of_day=morning;fromloc.city_name=dallas;toloc.city_name=atlanta,11
show me flights on wednesday morning boston to denver for united airlines first class,flight,depart_date.day_name=wednesday;depart_time.period_of_day=morning;fromloc.city_name=boston;toloc.city_name=denver;airline_name=united airlines;class_type=first class,11
what is fare code y mean,abbreviation,fare_basis_code=y,0
is there a flight on united airlines from boston to denver,flight,airline_name=united airlines;fromloc.city_name=boston;toloc.city_name=denver,11
what does fare code qo mean,abbreviation,fare_basis_code=qo,0
minneapolis to phoenix on monday,flight,fromloc.city_name=minneapolis;toloc.city_name=phoenix;depart_date.day_name=monday,11
i want the list of daily flights from milwaukee to st. louis,flight,flight_days=daily;fromloc.city_name=milwaukee;toloc.city_name=st. louis,11
show me all flights from new york to milwaukee on northwest airlines departing at 720 am,flight,fromloc.city_name=new york;toloc.city_name=milwaukee;airline_name=northwest airlines;depart_time.time=720 am,11
what ground transportation is available in boston,ground_service,city_name=boston,17
list all united flights from boston to san francisco,flight,airline_name=united;fromloc.city_name=boston;toloc.city_name=san francisco,11
show me the flights from dulles to san francisco leaving after 6 pm,flight,fromloc.airport_name=dulles;toloc.city_name=san francisco;depart_time.time_relative=after;depart_time.time=6 pm,11
flights from cincinnati to dallas departing after 718 am,flight,fromloc.city_name=cincinnati;toloc.city_name=dallas;depart_time.time_relative=after;depart_time.time=718 am,11
show me all the flights leaving baltimore,flight,fromloc.city_name=baltimore,11
is there a round trip flight from atlanta to dallas via denver,flight,round_trip=round trip;fromloc.city_name=atlanta;toloc.city_name=dallas;stoploc.city_name=denver,11
i would like to book a flight for august twenty seventh with us air from baltimore to oakland what flights do you have available,flight,depart_date.month_name=august;depart_date.day_number=twenty seventh;airline_name=us air;fromloc.city_name=baltimore;toloc.city_name=oakland,11
is there ground transportation from san diego airport to the downtown area,ground_service,fromloc.airport_name=san diego airport,17
how many flights does delta have with a class of service code f,quantity,airline_name=delta;fare_basis_code=f,20
what is the cheapest one way flight from atlanta to boston,flight,cost_relative=cheapest;round_trip=one way;fromloc.city_name=atlanta;toloc.city_name=boston,11
hello i would like to plan a flight from boston to denver,flight,fromloc.city_name=boston;toloc.city_name=denver,11
show me all the lufthansa flights between philadelphia and denver,flight,airline_name=lufthansa;fromloc.city_name=philadelphia;toloc.city_name=denver,11
all flights from denver to philadelphia,flight,fromloc.city_name=denver;toloc.city_name=philadelphia,11
show me the flights from san francisco to boston,flight,fromloc.city_name=san francisco;toloc.city_name=boston,11
what nonstop flights between boston and washington arrive after 5 o'clock pm,flight,flight_stop=nonstop;fromloc.city_name=boston;toloc.city_name=washington;arrive_time.time_relative=after;arrive_time.time=5 o'clock pm,11
what is the earliest flight from boston to san francisco,flight,flight_mod=earliest;fromloc.city_name=boston;toloc.city_name=san francisco,11
how long is the flight from atlanta to san francisco at noon on november seventh,distance,fromloc.city_name=atlanta;toloc.city_name=san francisco;depart_time.time=noon;depart_date.month_name=november;depart_date.day_number=seventh,10
list the earliest flights from atlanta to denver on a monday,flight,flight_mod=earliest;fromloc.city_name=atlanta;toloc.city_name=denver;depart_date.day_name=monday,11
flights from nashville to orlando daily,flight,fromloc.city_name=nashville;toloc.city_name=orlando;flight_days=daily,11
do you have a delta flight to san francisco from denver on august thirtieth in the early morning,flight,airline_name=delta;toloc.city_name=san francisco;fromloc.city_name=denver;depart_date.month_name=august;depart_date.day_number=thirtieth;depart_time.period_of_day=early;depart_time.period_of_day=morning,11
flights from oakland to san francisco,flight,fromloc.city_name=oakland;toloc.city_name=san francisco,11
list flights from philadelphia to san francisco via dallas,flight,fromloc.city_name=philadelphia;toloc.city_name=san francisco;stoploc.city_name=dallas,11
show me wednesday afternoon flights from denver to san francisco,flight,depart_date.day_name=wednesday;depart_time.period_of_day=afternoon;fromloc.city_name=denver;toloc.city_name=san francisco,11
show me flights from san francisco to denver on weekdays,flight,fromloc.city_name=san francisco;toloc.city_name=denver;flight_mod=weekdays,11
list flights from boston to san francisco that serve only breakfast,flight,fromloc.city_name=boston;toloc.city_name=san francisco;meal_description=breakfast,11
list the nonstop flights early tuesday morning from dallas to atlanta,flight,flight_stop=nonstop;arrive_time.period_mod=early;arrive_date.day_name=tuesday;arrive_time.period_of_day=morning;fromloc.city_name=dallas;toloc.city_name=atlanta,11
give me a flight from newark to tampa on friday,flight,fromloc.city_name=newark;toloc.city_name=tampa;depart_date.day_name=friday,11
what is the available ground transportation between san francisco and downtown,ground_service,fromloc.city_name=san francisco,17
show me the flights from boston to oakland,flight,fromloc.city_name=boston;toloc.city_name=oakland,11
show me all flights from phoenix to milwaukee next wednesday,flight,fromloc.city_name=phoenix;toloc.city_name=milwaukee;depart_date.date_relative=next;depart_date.day_name=wednesday,11
pittsburgh to denver,flight,fromloc.city_name=pittsburgh;toloc.city_name=denver,11
i 'd like to fly from boston to baltimore,flight,fromloc.city_name=boston;toloc.city_name=baltimore,11
i need a flight from los angeles to charlotte today,flight,fromloc.city_name=los angeles;toloc.city_name=charlotte;depart_date.today_relative=today,11
what type of ground transportation is available between the airport and downtown san francisco,ground_service,toloc.city_name=san francisco,17
show me the earliest flight from denver to las vegas,flight,flight_mod=earliest;fromloc.city_name=denver;toloc.city_name=las vegas,11
show me the southwest airlines flights from san diego to san francisco,flight,airline_name=southwest airlines;fromloc.city_name=san diego;toloc.city_name=san francisco,11
on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between,flight,airline_name=us air;flight_number=2153;fromloc.city_name=san francisco;toloc.city_name=baltimore;flight_time=time,11
tell me about ground transportation between orlando international and orlando,ground_service,fromloc.airport_name=orlando international;toloc.city_name=orlando,17
shortest evening flight from tampa to cincinnati,flight,flight_mod=shortest;depart_time.period_of_day=evening;fromloc.city_name=tampa;toloc.city_name=cincinnati,11
i 'd like to see the flights from baltimore to philadelphia,flight,fromloc.city_name=baltimore;toloc.city_name=philadelphia,11
i would like to fly from pittsburgh to atlanta on us air at the latest time possible in the evening,flight,fromloc.city_name=pittsburgh;toloc.city_name=atlanta;airline_name=us air;flight_mod=latest time possible;depart_time.period_of_day=evening,11
what is the cheapest round trip flight from denver to atlanta,flight,cost_relative=cheapest;round_trip=round trip;fromloc.city_name=denver;toloc.city_name=atlanta,11
please list all the flights from boston to denver which serve meals,flight,fromloc.city_name=boston;toloc.city_name=denver;meal=meals,11
list lowest cost flight from dallas to baltimore,flight,cost_relative=lowest cost;fromloc.city_name=dallas;toloc.city_name=baltimore,11
i 'd like a flight from st. petersburg to miami on that next thursday,flight,fromloc.city_name=st. petersburg;toloc.city_name=miami;depart_date.date_relative=next;depart_date.day_name=thursday,11
list flights from pittsburgh to boston leaving after 3 in the afternoon,flight,fromloc.city_name=pittsburgh;toloc.city_name=boston;depart_time.time_relative=after;depart_time.time=3;depart_time.period_of_day=afternoon,11
what round trip flights between atlanta and denver qualify for fare code qx,flight,round_trip=round trip;fromloc.city_name=atlanta;toloc.city_name=denver;fare_basis_code=qx,11
give me the cheapest flight from charlotte to long beach,flight,cost_relative=cheapest;fromloc.city_name=charlotte;toloc.city_name=long beach,11
are there any flights between philadelphia and denver,flight,fromloc.city_name=philadelphia;toloc.city_name=denver,11
what flights are there from pittsburgh to los angeles,flight,fromloc.city_name=pittsburgh;toloc.city_name=los angeles,11
i would like a flight from denver to pittsburgh,flight,fromloc.city_name=denver;toloc.city_name=pittsburgh,11
show me the flights from philadelphia to dallas with a stop in atlanta,flight,fromloc.city_name=philadelphia;toloc.city_name=dallas;stoploc.city_name=atlanta,11
what are the flights from boston to washington,flight,fromloc.city_name=boston;toloc.city_name=washington,11
list all flights going from boston to atlanta before 7 o'clock am on thursday,flight,fromloc.city_name=boston;toloc.city_name=atlanta;depart_time.time_relative=before;depart_time.time=7 o'clock am;depart_date.day_name=thursday,11
i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday,flight,fromloc.city_name=atlanta;toloc.city_name=washington;toloc.state_code=dc;depart_time.time_relative=after;depart_time.time=4 pm;depart_date.day_name=wednesday,11
what is the latest flight in the day from baltimore to atlanta,flight,flight_mod=latest;fromloc.city_name=baltimore;toloc.city_name=atlanta,11
flight leaving from oakland to salt lake city,flight,fromloc.city_name=oakland;toloc.city_name=salt lake city,11
i want a list of flights from pittsburgh to baltimore on thursday that arrive in baltimore before 10 am,flight,fromloc.city_name=pittsburgh;toloc.city_name=baltimore;depart_date.day_name=thursday;toloc.city_name=baltimore;arrive_time.time_relative=before;arrive_time.time=10 am,11
i want a cheap from denver to atlanta,flight,flight_mod=cheap;fromloc.city_name=denver;toloc.city_name=atlanta,11
what flights go from boston to denver before 10 am,flight,fromloc.city_name=boston;toloc.city_name=denver;depart_time.time_relative=before;depart_time.time=10 am,11
what flights go from boston to orlando,flight,fromloc.city_name=boston;toloc.city_name=orlando,11
show all flights from boston to denver on july thirty first,flight,fromloc.city_name=boston;toloc.city_name=denver;depart_date.month_name=july;depart_date.day_number=thirty first,11
list all daily flights between oakland and boston using american airline,flight,flight_days=daily;fromloc.city_name=oakland;toloc.city_name=boston;airline_name=american airline,11
can i fly from boston to baltimore washington,flight,fromloc.city_name=boston;toloc.city_name=baltimore;toloc.city_name=washington,11
pittsburgh to atlanta wednesday,flight,fromloc.city_name=pittsburgh;toloc.city_name=atlanta;depart_date.day_name=wednesday,11
give me all the flights from memphis to charlotte,flight,fromloc.city_name=memphis;toloc.city_name=charlotte,11
what is ff,abbreviation,airline_code=ff,0
show me round trip fares from pittsburgh to philadelphia,airfare,round_trip=round trip;fromloc.city_name=pittsburgh;toloc.city_name=philadelphia,3
what is the earliest flight from washington to san francisco,flight,flight_mod=earliest;fromloc.city_name=washington;toloc.city_name=san francisco,11
what are the flights and fares from boston to philadelphia,flight+airfare,fromloc.city_name=boston;toloc.city_name=philadelphia,12
find the cheapest one way fare from boston to san francisco,airfare,cost_relative=cheapest;round_trip=one way;fromloc.city_name=boston;toloc.city_name=san francisco,3
one way,flight,round_trip=one way,11
what kind of ground transportation is available in las vegas,ground_service,city_name=las vegas,17
flights from newark new jersey to cleveland,flight,fromloc.city_name=newark;fromloc.state_name=new jersey;toloc.city_name=cleveland,11
afternoon flights from boston to san francisco please that leave in the afternoon,flight,depart_time.period_of_day=afternoon;fromloc.city_name=boston;toloc.city_name=san francisco;depart_time.period_of_day=afternoon,11
list all american airlines flights from phoenix to milwaukee on wednesday,flight,airline_name=american airlines;fromloc.city_name=phoenix;toloc.city_name=milwaukee;depart_date.day_name=wednesday,11
what flights leave from phoenix to anywhere,flight,fromloc.city_name=phoenix,11
what are the schedule of flights from boston to san francisco for august first,flight_time,flight_time=schedule;fromloc.city_name=boston;toloc.city_name=san francisco;depart_date.month_name=august;depart_date.day_number=first,15
what are the delta flights from dallas to boston,flight,airline_name=delta;fromloc.city_name=dallas;toloc.city_name=boston,11
show me the nonstop flights from houston to dallas,flight,flight_stop=nonstop;fromloc.city_name=houston;toloc.city_name=dallas,11
find me a flight on united from boston to san francisco with a stopover in denver,flight,airline_name=united;fromloc.city_name=boston;toloc.city_name=san francisco;stoploc.city_name=denver,11
what is the cost of a ticket going from denver to boston july twenty fifth 1991,airfare,fromloc.city_name=denver;toloc.city_name=boston;depart_date.month_name=july;depart_date.day_number=twenty fifth;depart_date.year=1991,3
show me the united airlines flights from denver to baltimore leaving on june fourteenth,flight,airline_name=united airlines;fromloc.city_name=denver;toloc.city_name=baltimore;depart_date.month_name=june;depart_date.day_number=fourteenth,11
show me the earliest flight on august second from boston to denver that serves a meal,flight,flight_mod=earliest;depart_date.month_name=august;depart_date.day_number=second;fromloc.city_name=boston;toloc.city_name=denver;meal=meal,11
what is the earliest flight from oakland to washington dc on sunday,flight,flight_mod=earliest;fromloc.city_name=oakland;toloc.city_name=washington;toloc.state_code=dc;depart_date.day_name=sunday,11
where does delta fly to that american doesn 't,flight,airline_name=delta;airline_name=american;mod=doesn 't,11
is there a delta flight from denver to san francisco,flight,airline_name=delta;fromloc.city_name=denver;toloc.city_name=san francisco,11
show me all daily flights from milwaukee to orlando,flight,flight_days=daily;fromloc.city_name=milwaukee;toloc.city_name=orlando,11
what flights are there from memphis to las vegas,flight,fromloc.city_name=memphis;toloc.city_name=las vegas,11
what is the cheapest fare between denver and boston,airfare,cost_relative=cheapest;fromloc.city_name=denver;toloc.city_name=boston,3
show me the flights from philadelphia to atlanta georgia,flight,fromloc.city_name=philadelphia;toloc.city_name=atlanta;toloc.state_name=georgia,11
i would like to fly from boston to oakland what airlines fly from boston to oakland,flight,fromloc.city_name=boston;toloc.city_name=oakland;fromloc.city_name=boston;toloc.city_name=oakland,11
i want information on flights from atlanta to washington dc i want to leave wednesday after 4 pm or thursday before 9 am,flight,fromloc.city_name=atlanta;toloc.city_name=washington;toloc.state_code=dc;depart_date.day_name=wednesday;depart_time.time_relative=after;depart_time.time=4 pm;or=or;depart_date.day_name=thursday;depart_time.time_relative=before;depart_time.time=9 am,11
show me flights from new york to miami,flight,fromloc.city_name=new york;toloc.city_name=miami,11
show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon,flight,airline_name=delta;fromloc.city_name=pittsburgh;depart_time.start_time=12;depart_time.end_time=4;depart_time.period_of_day=afternoon,11
i 'd like the earliest flight information from boston to san francisco with a meal,flight,flight_mod=earliest;fromloc.city_name=boston;toloc.city_name=san francisco;meal=meal,11
list the northwest airlines flights that leave denver before noon,flight,airline_name=northwest airlines;fromloc.city_name=denver;depart_time.time_relative=before;depart_time.time=noon,11
what is the fare on november seventh going one way from san francisco to oakland,airfare,depart_date.month_name=november;depart_date.day_number=seventh;round_trip=one way;fromloc.city_name=san francisco;toloc.city_name=oakland,3
i would like flights between boston and atlanta on july eleven departing at one in the afternoon,flight,fromloc.city_name=boston;toloc.city_name=atlanta;depart_date.month_name=july;depart_date.day_number=eleven;depart_time.time=one;depart_time.period_of_day=afternoon,11
show me a list of rental car fares at boston airport,ground_service,transport_type=rental car;airport_name=boston airport,17
what airlines have nonstop early afternoon flights from boston to denver,airline,flight_stop=nonstop;depart_time.period_of_day=early;arrive_time.period_of_day=afternoon;fromloc.city_name=boston;toloc.city_name=denver,5
what does it cost to fly from boston to san francisco on united airlines flight 21,airfare,fromloc.city_name=boston;toloc.city_name=san francisco;airline_name=united airlines;flight_number=21,3
what are the early weekday flights from san francisco to pittsburgh,flight,flight_mod=early;fromloc.city_name=san francisco;toloc.city_name=pittsburgh,11
can i have a list of all the thursday flights from baltimore to atlanta that leave after 1 pm,flight,depart_date.day_name=thursday;fromloc.city_name=baltimore;toloc.city_name=atlanta;depart_time.time_relative=after;depart_time.time=1 pm,11
what is the airfare for flights from denver to pittsburgh on delta airline,airfare,fromloc.city_name=denver;toloc.city_name=pittsburgh;airline_name=delta airline,3
could you please tell me the cheapest flight from boston to san francisco,flight,cost_relative=cheapest;fromloc.city_name=boston;toloc.city_name=san francisco,11
flights from san jose to st. paul,flight,fromloc.city_name=san jose;toloc.city_name=st. paul,11
are there any flights from milwaukee to tacoma on friday june eleventh,flight,fromloc.city_name=milwaukee;toloc.city_name=tacoma;depart_date.day_name=friday;depart_date.month_name=june;depart_date.day_number=eleventh,11
do you have ground transportation between airport and downtown in boston,ground_service,toloc.city_name=boston,17
i 'd like to book the cheapest one way flight from denver to pittsburgh,flight,cost_relative=cheapest;round_trip=one way;fromloc.city_name=denver;toloc.city_name=pittsburgh,11
list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas,flight,flight_stop=nonstop;arrive_date.day_name=sunday;fromloc.city_name=new york;toloc.city_name=las vegas;flight_stop=nonstop;arrive_date.day_name=sunday;fromloc.city_name=memphis;toloc.city_name=las vegas,11
i need a flight from denver to pittsburgh on july seventh that leaves in the afternoon,flight,fromloc.city_name=denver;toloc.city_name=pittsburgh;depart_date.month_name=july;depart_date.day_number=seventh;depart_time.period_of_day=afternoon,11
flights from pittsburgh to baltimore between 10 am and 2 pm,flight,fromloc.city_name=pittsburgh;toloc.city_name=baltimore;depart_time.start_time=10 am;depart_time.end_time=2 pm,11
from seattle to salt lake city,flight,fromloc.city_name=seattle;toloc.city_name=salt lake city,11
flight from ontario to orlando that departs 9 hours before arriving,flight,fromloc.city_name=ontario;toloc.city_name=orlando;depart_time.time=9;depart_time.time_relative=before,11
what do you have tomorrow after 5 o'clock from atlanta to san francisco,flight,depart_date.today_relative=tomorrow;depart_time.time_relative=after;depart_time.time=5 o'clock;fromloc.city_name=atlanta;toloc.city_name=san francisco,11
show all united flights between boston and philadelphia,flight,airline_name=united;fromloc.city_name=boston;toloc.city_name=philadelphia,11
what flights from philadelphia to atlanta,flight,fromloc.city_name=philadelphia;toloc.city_name=atlanta,11
how many of delta 's night flights are first class,quantity,airline_name=delta 's;depart_time.period_of_day=night;class_type=first class,20
flights from westchester county to st. paul,flight,fromloc.city_name=westchester county;toloc.city_name=st. paul,11
what flights are there from tampa to charlotte,flight,fromloc.city_name=tampa;toloc.city_name=charlotte,11
what flight do you have from atlanta to dallas on august twenty seventh in the morning,flight,fromloc.city_name=atlanta;toloc.city_name=dallas;depart_date.month_name=august;depart_date.day_number=twenty seventh;depart_time.period_of_day=morning,11
give me the cheapest one way flights between boston and philadelphia which arrive after noon on a tuesday,flight,cost_relative=cheapest;round_trip=one way;fromloc.city_name=boston;toloc.city_name=philadelphia;arrive_time.time_relative=after;arrive_time.time=noon;arrive_date.day_name=tuesday,11
does dl stand for delta,abbreviation,airline_code=dl;airline_name=delta,0
what flights are there from new york city to las vegas,flight,fromloc.city_name=new york city;toloc.city_name=las vegas,11
show me all flights that arrive in philadelphia from baltimore denver or pittsburgh,flight,toloc.city_name=philadelphia;fromloc.city_name=baltimore;fromloc.city_name=denver;or=or;fromloc.city_name=pittsburgh,11
i would like a nonstop flight from st. petersburg to charlotte leaving in the afternoon,flight,flight_stop=nonstop;fromloc.city_name=st. petersburg;toloc.city_name=charlotte;arrive_time.period_of_day=afternoon,11
cheapest fare from indianapolis to seattle,airfare,cost_relative=cheapest;fromloc.city_name=indianapolis;toloc.city_name=seattle,3
what economy flights are available from dallas to baltimore on july twenty fifth 1991,flight,economy=economy;fromloc.city_name=dallas;toloc.city_name=baltimore;depart_date.month_name=july;depart_date.day_number=twenty fifth;depart_date.year=1991,11
what is the flight number for the continental flight which leaves denver at 1220 pm and goes to san francisco,flight_no,airline_name=continental;fromloc.city_name=denver;depart_time.time=1220 pm;toloc.city_name=san francisco,14
i would like information on any flights from san francisco to pittsburgh arriving in pittsburgh before 8 am tuesday morning,flight,fromloc.city_name=san francisco;toloc.city_name=pittsburgh;toloc.city_name=pittsburgh;arrive_time.time_relative=before;arrive_time.time=8 am;arrive_date.day_name=tuesday;arrive_time.period_of_day=morning,11
what are the flights from memphis to tacoma,flight,fromloc.city_name=memphis;toloc.city_name=tacoma,11
i 'd like to find a flight between dallas and philadelphia,flight,fromloc.city_name=dallas;toloc.city_name=philadelphia,11
show me round trip fares from san jose to salt lake city,airfare,round_trip=round trip;fromloc.city_name=san jose;toloc.city_name=salt lake city,3
show me the flights from atlanta to philadelphia,flight,fromloc.city_name=atlanta;toloc.city_name=philadelphia,11
boston ground transportation,ground_service,city_name=boston,17
please show me early morning flights from atlanta to philadelphia on wednesday,flight,depart_time.period_of_day=early;depart_time.period_of_day=morning;fromloc.city_name=atlanta;toloc.city_name=philadelphia;depart_date.day_name=wednesday,11
i would like to fly from pittsburgh to atlanta,flight,fromloc.city_name=pittsburgh;toloc.city_name=atlanta,11
i need a flight from san francisco to boston that leaves after 7 am,flight,fromloc.city_name=san francisco;toloc.city_name=boston;depart_time.time_relative=after;depart_time.time=7 am,11
what are all flights from pittsburgh to boston on wednesdays,flight,fromloc.city_name=pittsburgh;toloc.city_name=boston;depart_date.day_name=wednesdays,11
what are the flights on january first 1992 from boston to san francisco,flight,depart_date.month_name=january;depart_date.day_number=first;depart_date.year=1992;fromloc.city_name=boston;toloc.city_name=san francisco,11
i would like a flight from nashville to st. louis that arrives in st. louis around 6 pm and is nonstop,flight,fromloc.city_name=nashville;toloc.city_name=st. louis;toloc.city_name=st. louis;arrive_time.time_relative=around;arrive_time.time=6 pm;flight_stop=nonstop,11
i would like some information on the earliest flights you have leaving atlanta arriving in denver,flight,flight_mod=earliest;fromloc.city_name=atlanta;toloc.city_name=denver,11
now i need flight information leaving atlanta and arriving in baltimore in the afternoon,flight,fromloc.city_name=atlanta;toloc.city_name=baltimore;arrive_time.period_of_day=afternoon,11
i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you,flight,fromloc.city_name=kansas city;toloc.city_name=salt lake city;airline_name=delta;arrive_time.time_relative=about;arrive_time.time=8 o'clock;arrive_time.period_of_day=evening,11
what is bur,abbreviation,airport_code=bur,0
i want to fly from philadelphia to dallas with a stop in atlanta on a breakfast flight,flight,fromloc.city_name=philadelphia;toloc.city_name=dallas;stoploc.city_name=atlanta;meal_description=breakfast,11
flights from westchester county to san francisco daily,flight,fromloc.city_name=westchester county;toloc.city_name=san francisco;flight_days=daily,11
show me flights from boston to denver early am on tuesday,flight,fromloc.city_name=boston;toloc.city_name=denver;depart_time.period_mod=early;depart_time.period_of_day=am;depart_date.day_name=tuesday,11
list all flights from denver to philadelphia,flight,fromloc.city_name=denver;toloc.city_name=philadelphia,11
give me all the flights from miami to chicago on american airlines,flight,fromloc.city_name=miami;toloc.city_name=chicago;airline_name=american airlines,11
fares and flights from denver to philadelphia,airfare,fromloc.city_name=denver;toloc.city_name=philadelphia,3
show me all flights arriving at dallas,flight,toloc.city_name=dallas,11
what are connecting flights from chicago to seattle on june first,flight,connect=connecting;fromloc.city_name=chicago;toloc.city_name=seattle;depart_date.month_name=june;depart_date.day_number=first,11
show flights from san francisco to denver on wednesday and thursday,flight,fromloc.city_name=san francisco;toloc.city_name=denver;depart_date.day_name=wednesday;depart_date.day_name=thursday,11
what are the united airlines flights between baltimore and denver on august twelfth,flight,airline_name=united airlines;fromloc.city_name=baltimore;toloc.city_name=denver;depart_date.month_name=august;depart_date.day_number=twelfth,11
i would like direct coach flights from pittsburgh to atlanta,flight,connect=direct;class_type=coach;fromloc.city_name=pittsburgh;toloc.city_name=atlanta,11
give me flights from atlanta to baltimore,flight,fromloc.city_name=atlanta;toloc.city_name=baltimore,11
show me flights from milwaukee to orlando on wednesday after 6 pm,flight,fromloc.city_name=milwaukee;toloc.city_name=orlando;depart_date.day_name=wednesday;depart_time.time_relative=after;depart_time.time=6 pm,11
what flights are between boston and atlanta on july thirty first,flight,fromloc.city_name=boston;toloc.city_name=atlanta;depart_date.month_name=july;depart_date.day_number=thirty first,11
what is the latest flight from san francisco to boston,flight,flight_mod=latest;fromloc.city_name=san francisco;toloc.city_name=boston,11
what kind of airline is flight ua 281 from boston to denver,airline,airline_code=ua;flight_number=281;fromloc.city_name=boston;toloc.city_name=denver,5
show me flights from atlanta to washington,flight,fromloc.city_name=atlanta;toloc.city_name=washington,11
what about a car rental in denver,ground_service,transport_type=car rental;city_name=denver,17
list the cheapest flight from charlotte to memphis,flight,cost_relative=cheapest;fromloc.city_name=charlotte;toloc.city_name=memphis,11
show me all flights from pittsburgh to baltimore on thursday,flight,fromloc.city_name=pittsburgh;toloc.city_name=baltimore;depart_date.day_name=thursday,11
show me the flights on delta or twa which go through atlanta,flight,airline_name=delta;or=or;airline_code=twa;stoploc.city_name=atlanta,11
